metadata.vaccinationRound,state.name,state.ID,district.name,district.ID,totalVaccinations.count,farmersBenefited.count
3,Assam,state_18,Nalbari,district_298,96369,42930
3,Assam,state_18,Hailakandi,district_289,88264,47771
3,Assam,state_18,Sivasagar,district_300,84755,30723
3,Assam,state_18,Sonitpur,district_301,81562,43152
3,Assam,state_18,Darrang,district_283,75362,48262
3,Assam,state_18,Kokrajhar,district_294,68342,19686
3,Assam,state_18,Karbi Anglong,district_292,59971,16648
3,Assam,state_18,Cachar,district_282,59312,22137
3,Assam,state_18,Hojai,district_709,56358,25733
3,Assam,state_18,Barpeta,district_280,52654,29834
3,Assam,state_18,Bongaigaon,district_281,43271,16442
3,Assam,state_18,Kamrup,district_291,36021,13959
3,Assam,state_18,Biswanath,district_705,34022,10691
3,Assam,state_18,Golaghat,district_288,33085,9785
3,Assam,state_18,Goalpara,district_287,32456,10713
3,Assam,state_18,Majuli,district_706,25779,6847
3,Assam,state_18,Lakhimpur,district_295,24470,8139
3,Assam,state_18,Jorhat,district_290,23157,7322
3,Assam,state_18,Marigaon,district_296,18528,6701
3,Assam,state_18,Nagaon,district_297,17855,6851
3,Assam,state_18,Tinsukia,district_302,16252,3637
3,Assam,state_18,Tamulpur,district_756,15816,6180
3,Assam,state_18,Udalguri,district_617,15814,6732
3,Assam,state_18,Baksa,district_616,14918,6398
3,Assam,state_18,Karimganj,district_293,14432,5632
3,Assam,state_18,Chirang,district_612,11186,2677
3,Assam,state_18,Dima Hasao,district_299,11093,2731
3,Assam,state_18,Bajali,district_739,7494,4116
3,Assam,state_18,West Karbi Anglong,district_710,7140,1793
3,Assam,state_18,South Salmara Mancachar,district_707,5765,2373
3,Assam,state_18,Kamrup Metro,district_618,5583,1824
3,Assam,state_18,Charaideo,district_708,3135,1299
3,Assam,state_18,Dhemaji,district_284,2838,785
4,Assam,state_18,Dibrugarh,district_286,166627,28712
4,Assam,state_18,Dhubri,district_285,150939,64225
4,Assam,state_18,Lakhimpur,district_295,148420,41457
4,Assam,state_18,Barpeta,district_280,147688,82116
4,Assam,state_18,Darrang,district_283,101850,57773
4,Assam,state_18,Tinsukia,district_302,97657,19895
4,Assam,state_18,Kamrup,district_291,96646,39428
4,Assam,state_18,Biswanath,district_705,93162,25208
4,Assam,state_18,Jorhat,district_290,89379,26963
4,Assam,state_18,Sonitpur,district_301,87221,40860
4,Assam,state_18,Goalpara,district_287,83440,30444
4,Assam,state_18,Cachar,district_282,81563,29453
4,Assam,state_18,Hailakandi,district_289,80378,45102
4,Assam,state_18,Bongaigaon,district_281,80110,32752
4,Assam,state_18,Nalbari,district_298,78084,34093
4,Assam,state_18,Sivasagar,district_300,73809,24441
4,Assam,state_18,Kokrajhar,district_294,71180,19808
4,Assam,state_18,Karbi Anglong,district_292,71028,18555
4,Assam,state_18,Marigaon,district_296,70980,26463
4,Assam,state_18,Nagaon,district_297,68496,27282
4,Assam,state_18,Golaghat,district_288,66297,19739
4,Assam,state_18,Dhemaji,district_284,61633,11035
4,Assam,state_18,Hojai,district_709,61380,27673
4,Assam,state_18,Baksa,district_616,59367,25652
4,Assam,state_18,Udalguri,district_617,54388,18469
4,Assam,state_18,Bajali,district_739,41292,17080
4,Assam,state_18,Karimganj,district_293,32347,11929
4,Assam,state_18,Chirang,district_612,26363,7031
4,Assam,state_18,Tamulpur,district_756,21774,8217
4,Assam,state_18,South Salmara Mancachar,district_707,21348,10122
4,Assam,state_18,Majuli,district_706,21339,5567
4,Assam,state_18,Dima Hasao,district_299,21237,3560
4,Assam,state_18,Kamrup Metro,district_618,20755,4707
4,Assam,state_18,Charaideo,district_708,20239,6997
4,Assam,state_18,West Karbi Anglong,district_710,8424,1792
1,Bihar,state_10,Saharsa,district_216,78,48
1,Bihar,state_10,Madhepura,district_205,67,36
1,Bihar,state_10,Bhagalpur,district_192,30,26
1,Bihar,state_10,Bhojpur,district_193,11,11
1,Bihar,state_10,Patna,district_212,10,10
1,Bihar,state_10,Purbi Champaran,district_213,4,3
1,Bihar,state_10,Lakhisarai,district_204,3,3
1,Bihar,state_10,Darbhanga,district_195,2,2
1,Bihar,state_10,Rohtas,district_215,2,2
1,Bihar,state_10,Jamui,district_198,1,1
1,Bihar,state_10,Munger,district_207,1,1
1,Bihar,state_10,Purnia,district_214,1,1
1,Bihar,state_10,Sitamarhi,district_221,1,1
1,Bihar,state_10,Vaishali,district_224,1,1
1,Bihar,state_10,Arwal,district_611,1,1
2,Bihar,state_10,Purnia,district_214,1145086,199987
2,Bihar,state_10,Gaya,district_196,1043850,157213
2,Bihar,state_10,Madhubani,district_206,1042744,230122
2,Bihar,state_10,Supaul,district_223,870663,179550
2,Bihar,state_10,Araria,district_188,866224,218122
2,Bihar,state_10,Bhagalpur,district_192,807268,121147
2,Bihar,state_10,Katihar,district_201,788530,180491
2,Bihar,state_10,Banka,district_190,784928,152742
2,Bihar,state_10,Purbi Champaran,district_213,710736,230675
2,Bihar,state_10,Patna,district_212,688949,173766
2,Bihar,state_10,Muzaffarpur,district_208,684539,192104
2,Bihar,state_10,Madhepura,district_205,657982,124352
2,Bihar,state_10,Aurangabad,district_189,645793,134584
2,Bihar,state_10,Pashchim Champaran,district_211,634077,160226
2,Bihar,state_10,Darbhanga,district_195,619871,190343
2,Bihar,state_10,Rohtas,district_215,612694,183392
2,Bihar,state_10,Samastipur,district_217,590449,176263
2,Bihar,state_10,Kishanganj,district_203,583421,128361
2,Bihar,state_10,Saharsa,district_216,573094,130913
2,Bihar,state_10,Sitamarhi,district_221,558007,179112
2,Bihar,state_10,Jamui,district_198,537057,52817
2,Bihar,state_10,Nawada,district_210,510520,86743
2,Bihar,state_10,Siwan,district_222,498218,136567
2,Bihar,state_10,Begusarai,district_191,488607,158812
2,Bihar,state_10,Bhojpur,district_193,487184,160762
2,Bihar,state_10,Nalanda,district_209,440598,117466
2,Bihar,state_10,Kaimur (Bhabua),district_200,437295,101629
2,Bihar,state_10,Vaishali,district_224,392058,149114
2,Bihar,state_10,Khagaria,district_202,356360,108892
2,Bihar,state_10,Buxar,district_194,337957,109486
2,Bihar,state_10,Gopalganj,district_197,308215,133625
2,Bihar,state_10,Saran,district_218,307138,115077
2,Bihar,state_10,Munger,district_207,221301,44281
2,Bihar,state_10,Jehanabad,district_199,191896,61942
2,Bihar,state_10,Lakhisarai,district_204,176614,47496
2,Bihar,state_10,Arwal,district_611,140722,38104
2,Bihar,state_10,Sheikhpura,district_219,125549,28534
2,Bihar,state_10,Sheohar,district_220,92318,31950
3,Bihar,state_10,Gaya,district_196,791887,170160
3,Bihar,state_10,Supaul,district_223,718761,173567
3,Bihar,state_10,Madhubani,district_206,690284,202731
3,Bihar,state_10,Purnia,district_214,684914,143537
3,Bihar,state_10,Katihar,district_201,681085,162709
3,Bihar,state_10,Araria,district_188,639222,159899
3,Bihar,state_10,Rohtas,district_215,570693,166757
3,Bihar,state_10,Samastipur,district_217,520061,203210
3,Bihar,state_10,Madhepura,district_205,490814,126783
3,Bihar,state_10,Purbi Champaran,district_213,486177,194332
3,Bihar,state_10,Muzaffarpur,district_208,480279,154970
3,Bihar,state_10,Banka,district_190,473726,117312
3,Bihar,state_10,Bhagalpur,district_192,463472,89049
3,Bihar,state_10,Darbhanga,district_195,462947,143159
3,Bihar,state_10,Aurangabad,district_189,422116,116761
3,Bihar,state_10,Nawada,district_210,406338,91739
3,Bihar,state_10,Kishanganj,district_203,405909,91064
3,Bihar,state_10,Begusarai,district_191,405373,116312
3,Bihar,state_10,Sitamarhi,district_221,389727,118610
3,Bihar,state_10,Bhojpur,district_193,386084,123179
3,Bihar,state_10,Patna,district_212,384248,100406
3,Bihar,state_10,Kaimur (Bhabua),district_200,363089,85902
3,Bihar,state_10,Jamui,district_198,345662,76033
3,Bihar,state_10,Pashchim Champaran,district_211,343086,122749
3,Bihar,state_10,Khagaria,district_202,287354,79191
3,Bihar,state_10,Nalanda,district_209,287178,77957
3,Bihar,state_10,Saharsa,district_216,266689,66116
3,Bihar,state_10,Buxar,district_194,260305,79126
3,Bihar,state_10,Siwan,district_222,252010,96114
