regionID,regionName,parentID
subdistrict_7083,LAXMESHWAR,district_537
subdistrict_7084,CHITAGUPPA,district_529
subdistrict_7085,KAMALNAGAR,district_529
subdistrict_7086,HULSOOR,district_529
district_531,CHAMARAJANAGAR,state_29
subdistrict_7087,KALAGI,district_538
subdistrict_7088,SHAHABAD,district_538
subdistrict_7089,YADRAMI,district_538
subdistrict_7090,KAMALAPUR,district_538
subdistrict_7091,KANAKAGIRI,district_543
district_535,DAVANAGERE,state_29
subdistrict_7092,KARATAGI,district_543
subdistrict_7093,KUKUNOOR,district_543
subdistrict_7094,GURUMITKAL,district_635
subdistrict_7095,WADAGERA,district_635
subdistrict_7096,HUNASAGI,district_635
subdistrict_7097,SIRWAR,district_546
subdistrict_7098,SARAGURU,district_545
subdistrict_7099,MUDALGI,district_527
subdistrict_7100,KAGWAD,district_527
subdistrict_7101,MASKI,district_546
subdistrict_7102,MOODUBIDIRE,district_534
subdistrict_7103,YELAHANKA,district_525
subdistrict_7104,KADABA,district_534
subdistrict_7105,NIPPANI,district_527
subdistrict_7106,RATTIHALLI,district_540
subdistrict_7107,KAMPLI,district_528
subdistrict_7108,KOTTURU,district_738
district_738,VIJAYANAGARA,state_29
subdistrict_7109,KURUGODU,district_528
subdistrict_7123,ALMEL,district_530
subdistrict_7124,KUSHALANAGAR,district_541
subdistrict_7125,PONNAMPET,district_541
district_554,ALAPPUZHA,state_32
subdistrict_7194,KALASA,district_532
district_555,ERNAKULAM,state_32
district_556,IDUKKI,state_32
subdistrict_7195,YARAGATTI,district_527
subdistrict_7196,HAROHALLI,district_631
district_557,KANNUR,state_32
district_558,KASARAGOD,state_32
subdistrict_7197,ULLALA,district_534
district_559,KOLLAM,state_32
subdistrict_7198,MULKI,district_534
subdistrict_7230,SALIGRAMA,district_545
district_560,KOTTAYAM,state_32
ulb_248127,KALABURAGI CITY MUNICIPAL CORPORATION,district_538
district_561,KOZHIKODE,state_32
ulb_251528,PIMPRI CHINCHWAD MUNICIPAL CORPORATION,district_490
district_564,PATHANAMTHITTA,state_32
ulb_251530,PUNE MUNICIPAL CORPORATION,district_490
district_565,THIRUVANANTHAPURAM,state_32
ulb_251809,NIPANI CITY MUNICIPAL COUNCIL,district_527
district_566,THRISSUR,state_32
district_567,WAYANAD,state_32
ulb_251810,SADALGI TOWN MUNICIPAL COUNCIL,district_527
district_6,KARGIL,ut_37
ulb_251811,CHIKODI TOWN MUNICIPAL COUNCIL,district_527
ulb_251812,ATHNI TOWN MUNICIPAL COUNCIL,district_527
district_9,LEH LADAKH,ut_37
ulb_251813,KUDCHI TOWN MUNICIPAL COUNCIL,district_527
district_553,LAKSHADWEEP DISTRICT,ut_31
district_667,AGAR-MALWA,state_23
ulb_251814,RAYBAG TOWN PANCHAYAT,district_527
ulb_251815,MUDALGI TOWN MUNICIPAL COUNCIL,district_527
district_639,ALIRAJPUR,state_23
ulb_251816,KONNUR TOWN MUNICIPAL COUNCIL,district_527
district_390,ANUPPUR,state_23
district_391,ASHOKNAGAR,state_23
ulb_251819,SANKESHWAR TOWN MUNICIPAL COUNCIL,district_527
district_392,BALAGHAT,state_23
ulb_251820,HUKERI TOWN MUNICIPAL COUNCIL,district_527
ulb_251824,BELAGAVI MUNICIPAL CORPORATION,district_527
district_393,BARWANI,state_23
ulb_251825,KHANAPUR TOWN PANCHAYAT,district_527
district_394,BETUL,state_23
district_395,BHIND,state_23
ulb_251827,BAIL HONGAL TOWN MUNICIPAL COUNCIL,district_527
ulb_251830,MAHALINGPUR TOWN MUNICIPAL COUNCIL,district_524
district_396,BHOPAL,state_23
ulb_251831,TERDAL TOWN MUNICIPAL COUNCIL,district_524
district_397,BURHANPUR,state_23
district_398,CHHATARPUR,state_23
ulb_251832,JAMKHANDI CITY MUNICIPAL COUNCIL,district_524
district_399,CHHINDWARA,state_23
ulb_251833,RABKAVI-BANHATTI CITY MUNICIPAL COUNCIL,district_524
district_400,DAMOH,state_23
ulb_251834,BILGI TOWN PANCHAYAT,district_524
ulb_251836,KERUR TOWN PANCHAYAT,district_524
district_401,DATIA,state_23
district_402,DEWAS,state_23
ulb_251837,BADAMI TOWN MUNICIPAL COUNCIL,district_524
ulb_251838,GULEDGUDDA TOWN MUNICIPAL COUNCIL,district_524
district_403,DHAR,state_23
district_404,DINDORI,state_23
ulb_251839,BAGALKOT CITY MUNICIPAL COUNCIL,district_524
district_406,GUNA,state_23
